Unnamed: 0,date,serial_number,model,capacity_bytes,failure,datacenter,cluster_id,vault_id,pod_id,pod_slot_num,is_legacy_format,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_12_normalized,smart_12_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_226_normalized,smart_226_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,first_occurrence_date,failure_1_date,days_until_failure_1
14474,2024-04-14,1060A01MF97G,TOSHIBA MG07ACA14TA,14000519643136,1,sac2,0,1094,1,31.0,False,100.0,0.0,100.0,0.0,100.0,7843.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,18.0,33196.0,100.0,0.0,100.0,8.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,64.0,36.0,100.0,287.0,100.0,3.0,100.0,21.0,100.0,33.0,100.0,0.0,100.0,1.0,100.0,0.0,200.0,0.0,100.0,0.0,100.0,35782663.0,18.0,33082.0,100.0,0.0,100.0,0.0,100.0,585.0,100.0,0.0,100.0,511.0,100.0,290.0,2024-04-14,2024-04-14,0.0
9680,2024-03-22,10B0A089F97G,TOSHIBA MG07ACA14TA,14000519643136,1,phx1,0,1067,17,45.0,False,100.0,0.0,100.0,0.0,100.0,7952.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,11.0,35976.0,100.0,0.0,100.0,5.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,64.0,36.0,100.0,0.0,100.0,0.0,100.0,65.0,100.0,32.0,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,100.0,269615107.0,11.0,35875.0,100.0,0.0,100.0,0.0,100.0,589.0,100.0,0.0,100.0,12251.0,100.0,6286.0,2024-03-22,2024-03-22,0.0
10867,2024-03-28,10B0A09CF97G,TOSHIBA MG07ACA14TA,14000519643136,1,phx1,0,1069,7,47.0,False,100.0,0.0,100.0,0.0,100.0,7840.0,100.0,11.0,100.0,0.0,100.0,0.0,100.0,0.0,11.0,35733.0,100.0,0.0,100.0,8.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,64.0,36.0,100.0,59.0,100.0,1.0,100.0,544.0,100.0,33.0,100.0,0.0,100.0,1.0,100.0,0.0,200.0,0.0,100.0,0.0,100.0,152698883.0,13.0,34852.0,100.0,0.0,100.0,0.0,100.0,589.0,100.0,0.0,100.0,0.0,100.0,55621.0,2024-03-28,2024-03-28,0.0
93,2024-01-04,10B0A0FJF97G,TOSHIBA MG07ACA14TA,14000519643136,1,phx1,0,1067,2,12.0,False,100.0,0.0,100.0,0.0,100.0,7720.0,100.0,7.0,100.0,0.0,100.0,0.0,100.0,0.0,15.0,34099.0,100.0,0.0,100.0,6.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,64.0,36.0,100.0,223.0,100.0,1.0,100.0,68.0,100.0,28.0,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,100.0,252706824.0,16.0,33992.0,100.0,0.0,100.0,0.0,100.0,593.0,100.0,0.0,100.0,7648.0,100.0,50879.0,2024-01-04,2024-01-04,0.0
16761,2024-04-23,10B0A0RDF97G,TOSHIBA MG07ACA14TA,14000519643136,1,phx1,0,1067,7,36.0,False,100.0,0.0,100.0,0.0,100.0,7937.0,100.0,11.0,100.0,6.0,100.0,0.0,100.0,0.0,9.0,36752.0,100.0,0.0,100.0,8.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,64.0,36.0,100.0,12458.0,100.0,2.0,100.0,69.0,100.0,34.0,100.0,5.0,100.0,1.0,100.0,15.0,200.0,0.0,100.0,0.0,100.0,184680455.0,9.0,36581.0,100.0,0.0,100.0,0.0,100.0,583.0,100.0,0.0,100.0,1763.0,100.0,299.0,2024-04-23,2024-04-23,0.0
804,2024-01-17,10C0A01DF97G,TOSHIBA MG07ACA14TA,14000519643136,1,sac0,0,1106,2,24.0,False,100.0,0.0,100.0,0.0,100.0,7723.0,100.0,7.0,100.0,55.0,100.0,0.0,100.0,0.0,26.0,29921.0,100.0,0.0,100.0,7.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,71.0,29.0,100.0,2.0,100.0,3.0,100.0,35.0,100.0,20.0,100.0,53.0,100.0,14.0,1.0,708.0,200.0,0.0,100.0,0.0,100.0,219414531.0,26.0,29792.0,100.0,0.0,100.0,0.0,100.0,535.0,100.0,0.0,100.0,0.0,100.0,56445.0,2024-01-17,2024-01-17,0.0
14477,2024-04-14,10C0A0BAF97G,TOSHIBA MG07ACA14TA,14000519643136,1,sac2,0,1095,1,25.0,False,100.0,0.0,100.0,0.0,100.0,7914.0,100.0,9.0,100.0,0.0,100.0,0.0,100.0,0.0,16.0,33881.0,100.0,0.0,100.0,8.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,64.0,36.0,100.0,1.0,100.0,2.0,100.0,20.0,100.0,30.0,100.0,0.0,100.0,1.0,100.0,0.0,200.0,0.0,100.0,0.0,100.0,84017154.0,17.0,33580.0,100.0,0.0,100.0,0.0,100.0,581.0,100.0,0.0,100.0,511.0,100.0,290.0,2024-04-14,2024-04-14,0.0
9095,2024-03-19,10G0A00SF97G,TOSHIBA MG07ACA14TA,14000519643136,1,phx1,0,1069,7,57.0,False,100.0,0.0,100.0,0.0,100.0,7872.0,100.0,9.0,100.0,17.0,100.0,0.0,100.0,0.0,12.0,35514.0,100.0,0.0,100.0,7.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,96.0,100.0,1.0,100.0,610.0,100.0,35.0,100.0,14.0,100.0,1.0,100.0,28.0,200.0,0.0,100.0,0.0,100.0,1572866.0,14.0,34684.0,100.0,0.0,100.0,0.0,100.0,581.0,100.0,0.0,100.0,0.0,100.0,6594.0,2024-03-19,2024-03-19,0.0
9366,2024-03-20,10G0A00SF97G,TOSHIBA MG07ACA14TA,14000519643136,0,phx1,0,1069,7,57.0,False,100.0,0.0,100.0,0.0,100.0,7872.0,100.0,9.0,100.0,17.0,100.0,0.0,100.0,0.0,12.0,35545.0,100.0,0.0,100.0,7.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,64.0,36.0,100.0,96.0,100.0,1.0,100.0,610.0,100.0,35.0,100.0,14.0,100.0,1.0,100.0,28.0,200.0,0.0,100.0,0.0,100.0,34603009.0,14.0,34716.0,100.0,0.0,100.0,0.0,100.0,581.0,100.0,0.0,100.0,0.0,100.0,6484.0,2024-03-19,2024-03-19,-1.0
9568,2024-03-21,10G0A00SF97G,TOSHIBA MG07ACA14TA,14000519643136,0,phx1,0,1069,7,57.0,False,100.0,0.0,100.0,0.0,100.0,7872.0,100.0,9.0,100.0,17.0,100.0,0.0,100.0,0.0,12.0,35561.0,100.0,0.0,100.0,7.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,64.0,36.0,100.0,96.0,100.0,1.0,100.0,610.0,100.0,34.0,100.0,14.0,100.0,1.0,100.0,28.0,200.0,0.0,100.0,0.0,100.0,50462721.0,14.0,34732.0,100.0,0.0,100.0,0.0,100.0,581.0,100.0,0.0,100.0,0.0,100.0,30045.0,2024-03-19,2024-03-19,-2.0
